,id,county,state_pm,abs_pm,latitude,longitude,lanes
965,401816,85,9.04,9.03,37.371159999999996,-121.92688500000001,2
966,401817,85,9.04,9.04,37.371274,-121.92691699999999,4
967,401818,13,13.7,45.218999999999994,37.892113,-122.06351399999998,6
968,401819,75,5.18,433.474,37.770070000000004,-122.419351,3
969,401820,75,5.18,434.17900000000003,37.769613,-122.416876,2
970,401825,13,22.33,21.964000000000002,38.019902,-121.90135500000001,4
971,401826,13,22.33,22.011,38.01981,-121.90176000000001,4
972,401827,13,22.59,22.224,38.019036,-121.897048,4
973,401828,13,22.59,22.271,38.018867,-121.89714099999999,4
974,401829,13,23.18,22.861,38.016161,-121.88686299999999,4
975,401830,13,23.82,23.454,38.013861999999996,-121.875409,5
976,401831,81,9.12,411.343,37.521615999999995,-122.264949,4
977,401832,81,8.52,410.707,37.515299,-122.25748999999999,4
978,401833,81,6.65,408.837,37.496527,-122.233527,5
979,401834,81,6.57,408.75699999999995,37.496128999999996,-122.23215800000001,4
980,401835,81,5.77,407.957,37.491388,-122.21888200000001,4
981,401837,81,5.67,407.89300000000003,37.490595,-122.217518,4
982,401840,13,13.13,44.648999999999994,37.886545,-122.056179,5
983,401841,1,15.01,14.833,37.689198,-122.10708000000001,3
984,401845,85,11.01,12.392000000000001,37.332668,-122.06062800000001,4
985,401846,85,11.01,12.392000000000001,37.332482,-122.060617,4
986,401851,1,18.56,34.744,37.701673,-121.883255,6
987,401852,1,18.56,34.592,37.701391,-121.88326399999998,6
988,401853,1,27.19,43.373999999999995,37.701229999999995,-122.03791899999999,4
989,401854,1,27.19,43.222,37.700959999999995,-122.03778,4
990,401855,1,33.86,49.926,37.721256,-122.13481100000001,4
991,401856,1,33.86,49.773999999999994,37.721144,-122.135,4
992,401857,1,37.09,53.156000000000006,37.763172999999995,-122.149746,4
993,401858,1,37.09,53.004,37.763133,-122.149977,4
994,401859,81,9.12,411.30699999999996,37.521719,-122.26481299999999,5
995,401860,81,6.57,408.793,37.495989,-122.23223,5
996,401861,81,6.67,408.89300000000003,37.496472999999995,-122.233944,4
997,401868,81,8.46,410.68300000000005,37.514523,-122.256924,4
998,401869,81,8.78,410.967,37.518081,-122.260663,5
999,401870,81,8.78,411.00300000000004,37.517958,-122.26082,5
1000,401871,1,22.5,32.727,37.707384000000005,-122.16188600000001,5
1001,401872,81,3.73,405.917,37.484232,-122.183031,5
1002,401873,81,3.73,405.95300000000003,37.484087,-122.18323899999999,5
1003,401874,81,4.87,407.05699999999996,37.487321,-122.203433,5
1004,401875,81,4.87,407.093,37.487195,-122.203699,5
1005,401876,81,5.78,408.00300000000004,37.491361,-122.219254,4
1006,401877,95,23.96,51.441,38.335912,-122.01728100000001,4
1007,401878,95,23.96,51.441,38.335762,-122.01703300000001,4
1008,401879,95,18.03,45.513000000000005,38.259621,-122.06116599999999,5
1009,401880,85,0.57,0.57,37.24082,-121.77869299999999,3
1010,401881,85,26.78,376.087,37.241836,-121.769232,4
1011,401882,81,8.29,410.477,37.512823,-122.254705,4
1012,401883,81,8.3,410.523,37.512813,-122.254967,4
1013,401888,1,8.43,18.657,37.541569,-122.018846,5
1014,401889,13,12.88,44.398999999999994,37.883722999999996,-122.053331,5
1015,401890,85,35.2,384.833,37.343447,-121.855539,5
1016,401891,85,35.2,384.869,37.343293,-121.855795,5
1017,401892,1,2.32,7.63,37.824658,-122.30790900000001,6
1018,401893,1,2.32,7.63,37.824658,-122.30790900000001,2
1019,401894,13,4.5569999999999995,17.89,37.959016999999996,-122.33077,5
1020,401895,13,4.547,17.88,37.959098,-122.33058,4
1021,401896,1,1.58,1.571,37.817758000000005,-122.269915,3
1022,401897,1,1.58,1.571,37.817758000000005,-122.269915,2
1023,401898,1,45.3,61.385,37.824927,-122.270729,3
1024,401899,1,45.3,61.233000000000004,37.824753,-122.27080900000001,3
1025,401900,1,7.26,12.57,37.888329999999996,-122.30909,6
1026,401901,1,6.983,12.293,37.884846,-122.30863000000001,5
1027,401906,85,34.5,384.16900000000004,37.335259,-121.848031,4
1028,401907,85,34.5,384.16900000000004,37.335259,-121.848031,3
1029,401908,85,34.49,384.12300000000005,37.335284,-121.84766200000001,4
1030,401909,85,34.49,384.12300000000005,37.335284,-121.84766200000001,3
1031,401910,81,9.5,411.68699999999995,37.525813,-122.269411,4
1032,401911,1,1.62,1.611,37.818437,-122.27017,3
1033,401912,1,1.62,1.611,37.818437,-122.27017,3
1034,401913,81,3.5,405.723,37.482728,-122.17940300000001,4
1035,401914,81,11.16,413.347,37.544765999999996,-122.287979,4
1036,401917,13,1.04,32.413000000000004,37.736265,-121.94988400000001,4
1037,401918,13,1.04,32.448,37.736222,-121.95013,4
1038,401923,95,27.55,55.031000000000006,38.364998,-121.963981,4
1039,401924,13,10.49,41.863,37.853384999999996,-122.02893999999999,4
1040,401925,13,10.49,41.898,37.853324,-122.029154,4
1041,401926,85,48.62,398.293,37.411999,-122.078452,4
1042,401927,81,3.54,405.727,37.483144,-122.17985,4
1043,401928,81,7.56,409.783,37.504821,-122.246025,5
1044,401929,81,7.46,409.647,37.503896000000005,-122.24464099999999,5
1045,401934,75,1.9,430.194,37.73437,-122.406177,3
1046,401935,75,1.9,430.23,37.734313,-122.406375,4
