id,timestamp_,description,area,latitude,longitude,district,freeway,direction,postmile_state,postmile_abs,duration
18452880,2019-01-01 16:57:00,1183-Trfc Collision-Unkn Inj,Dublin,37.511722999999996,-121.93818700000001,4,680,S,M3.82,13.719000000000001,74.0
18452883,2019-01-01 17:01:00,1183-Trfc Collision-Unkn Inj,Castro Valley,37.691012,-122.07106200000001,4,580,W,R29.368,45.4,29.0
18452887,2019-01-01 17:05:00,1125-Traffic Hazard,Contra Costa,37.892862,-122.125001,4,24,E,R6.052,10.4,1.0
18452898,2019-01-01 17:15:00,1182-Trfc Collision-No Inj,Hollister Gilroy,37.209444,-121.7225,4,101,N,R23.329,372.6,14.0
18452902,2019-01-01 17:20:00,1125-Traffic Hazard,Dublin,37.700887,-121.82266299999999,4,580,E,15.116,31.3,5.0
18452903,2019-01-01 17:18:00,1125-Traffic Hazard,San Jose,37.334134000000006,-121.86121299999999,4,280,N,R0.6,0.6,24.0
18452904,2019-01-01 17:17:00,1125-Traffic Hazard,San Francisco,37.771786,-122.42339299999999,4,101,S,5.516,434.2,19.0
18452912,2019-01-01 17:21:00,1183-Trfc Collision-Unkn Inj,San Francisco,37.604779,-122.384004,4,101,S,18.176,420.4,104.0
18452916,2019-01-01 17:31:00,1125-Traffic Hazard,San Jose,37.292202,-121.93737,4,17,S,12.147,24.7,20.0
18452923,2019-01-01 17:35:00,1125-Traffic Hazard,Hayward,37.524522999999995,-121.99205500000001,4,880,S,6.473,16.7,4.0
18452955,2019-01-01 18:01:00,1125-Traffic Hazard,San Francisco,37.712078999999996,-122.45352,4,280,N,R0.939,50.9,3.0
18452956,2019-01-01 17:59:00,1125-Traffic Hazard,San Francisco,37.733502,-122.41210900000002,4,101,N,2.006,430.3,20.0
18452981,2019-01-01 18:21:00,1183-Trfc Collision-Unkn Inj,Dublin,37.531182,-121.941176,4,680,N,M5.295,15.267999999999999,22.0
18452983,2019-01-01 18:15:00,CFIRE-Car Fire,San Francisco,37.742983,-122.39681999999999,4,280,N,R4.739,54.7,63.0
18453019,2019-01-01 18:59:00,FIRE-Report of Fire,San Jose,37.367433,-121.90098300000001,4,880,N,4.3,4.3,11.0
18453020,2019-01-01 18:58:00,1179-Trfc Collision-1141 Enrt,Oakland,37.972883,-122.319635,4,80,W,5.754,19.1,62.0
18453040,2019-01-01 19:24:00,1125-Traffic Hazard,Marin,37.947769,-122.513263,4,101,S,9.18,449.5,18.0
18453047,2019-01-01 19:32:00,FIRE-Report of Fire,Redwood City,37.499175,-122.239544,4,101,S,7.076,409.3,55.0
