,id,county,state_pm,abs_pm,latitude,longitude,lanes,weather_station_id
241,7195,13,6.27,19.603,37.980256,-122.317154,4,23254
242,7197,13,2.57,6.917999999999998,37.881791,-122.181562,4,23254
243,7198,85,6.09,7.472,37.317942,-121.977301,4,23293
244,7200,85,7.16,19.713,37.227752,-121.974276,2,23293
245,7201,1,4.03,14.257,37.500569,-121.958606,4,23244
246,7202,85,2.66,2.66,37.291828,-121.87183600000002,3,23293
247,7204,81,16.0,418.187,37.58730300000001,-122.351386,5,23234
248,7205,81,17.05,419.273,37.594295,-122.367943,5,23234
249,7206,1,23.35,33.577,37.715784,-122.173158,4,23234
250,7207,1,3.86,33.92,37.541467,-122.065681,3,93228
251,7209,81,0.78,403.003,37.459416,-122.139286,4,23244
252,7211,1,16.7,26.927,37.64476,-122.093918,4,93228
253,7212,41,16.15,457.423,38.041791,-122.536263,5,135
254,7213,85,6.98,8.362,37.319424,-121.993175,4,23293
255,7214,13,7.227,20.56,37.991671,-122.30836200000002,5,23254
256,7216,1,5.7,11.01,37.864887,-122.30302,5,23272
257,7219,85,46.81,396.483,37.403153,-122.047463,4,23244
258,7220,85,10.57,23.123,37.271687,-121.947037,3,23293
259,7221,13,6.87,38.278,37.813185,-121.993418,4,23254
260,7222,13,2.25,6.598,37.87761,-122.184005,4,23254
261,7223,81,17.22,419.443,37.595859,-122.370348,5,23234
262,7224,85,36.11,385.779,37.353727,-121.865827,4,23293
263,7225,81,17.22,419.407,37.595999,-122.37006,5,23234
264,7226,1,24.6,34.827,37.730017,-122.18722,5,23234
265,7227,13,2.97,16.303,37.937479,-122.325945,4,23272
266,7228,85,3.84,3.84,37.25025,-121.835557,3,23293
267,7229,13,2.62,15.953,37.932712,-122.325878,4,23272
268,7230,13,3.98,35.38800000000001,37.77437000000001,-121.973981,4,23285
269,7232,1,3.86,33.92,37.541756,-122.065675,3,93228
270,7233,85,7.11,7.162000000000001,37.419452,-121.955498,3,23293
271,7234,13,9.1,40.473,37.838067,-122.014224,4,23254
272,7235,1,10.12,20.347,37.561479,-122.036403,4,93228
273,7238,1,33.15,43.377,37.803327,-122.301708,4,93228
274,7241,85,1.53,1.52,37.276763,-121.863661,2,23293
275,7244,41,17.04,457.645,38.05375,-122.530892,4,135
276,7245,85,6.34,6.34,37.254781,-121.878917,3,23293
277,7246,95,9.96,68.098,38.182315,-122.134276,2,93227
278,7247,1,17.99,28.217,37.661372,-122.104698,5,93228
279,7248,85,10.88,11.056,37.258029,-121.962211,3,23293
280,7249,13,6.935,20.268,37.9891,-122.312663,4,23254
281,7252,1,6.1,16.327,37.52130800000001,-121.985517,4,23244
282,7254,13,1.24,14.573,37.914219,-122.317555,4,23272
283,7257,81,20.57,422.757,37.634102,-122.402969,4,23234
284,7258,85,28.5,377.771,37.256295,-121.794639,4,23293
285,7262,13,10.195,23.528,38.016698,-122.267706,4,23254
286,7263,85,3.94,3.94,37.362439,-121.903211,4,23293
287,7264,1,45.31,61.395,37.824968,-122.270895,4,23293
288,7268,81,19.5,421.723,37.61875300000001,-122.39936000000002,5,23234
289,7269,85,10.29,10.29,37.254231,-121.949216,3,23293
290,7270,1,19.96,30.187,37.683114,-122.127218,6,93228
291,7272,1,13.78,24.007,37.608066,-122.067407,5,93228
292,7273,1,45.31,61.243,37.824791,-122.270978,2,93228
293,7274,1,7.36,17.587,37.531271,-122.004734,4,23244
294,7276,1,38.89,54.804,37.780572,-122.173006,4,23244
295,7278,13,6.98,11.328,37.895807,-122.108492,5,23254
296,7279,1,25.51,35.73699999999999,37.74083,-122.196448,4,23254
297,7280,1,5.76,35.82,37.560476,-122.041091,3,93228
298,7281,81,23.53,425.717,37.672002,-122.390835,4,23234
299,7282,1,27.53,37.757,37.764896,-122.217766,4,23234
300,7283,85,8.42,9.802,37.331068,-122.014931,4,23293
301,7285,13,11.914,25.247,38.036851,-122.249232,4,23254
